地区,GDP,migration population index,unemployment rate ,rental price,production index,GDP2020,migration population index 2020,unemployment rate 2020,rental price 2020,production index 2020
北京市,35445.1,8.12,7.4,101.7,106.1,35943.3,6.35,29,98.9,101.1
天津市,14055.5,6.73,26.1,103,104.8,14008,5.3,27,101,101.4
河北省,34978.6,10.83,36,100.7,106.7,36013.8,7.15,38.5,98.9,103.8
山西省,16961.6,9.12,21.3,103.2,106.1,17835.6,7.06,27.7,100.4,103.6
内蒙古自治区,17212.5,8.23,28.1,103,105.2,17258,6.26,30,99.6,100.2
辽宁省,24855.3,6.45,45.6,100.3,105.4,25011.4,4.71,50.7,100.2,100.6
吉林省,11726.8,6.05,23.9,105.1,103,12256,4.7,20.6,98,102.3
黑龙江省,13544.4,5.73,34.7,98.9,104,13633.4,3.59,31,96.9,100.9
上海市,37987.6,7,19.3,101.8,106,38963.3,4.67,19.7,101,101.7
江苏省,98656.8,9.12,35.1,102.2,105.9,102807.7,5.65,36.7,99.9,103.7
浙江省,62462,10.51,34.4,100.6,106.8,64689.1,6.9,42.1,99.9,103.6
安徽省,36845.5,12.03,26.8,101.7,107.3,38061.5,8.05,30,99.8,103.7
福建省,42326.6,12.9,16.8,100.6,107.5,43608.6,8.26,35.7,100,103.2
江西省,24667.3,12.59,27.5,100.7,107.9,25782,8.34,29.9,99.5,103.8
山东省,70540.5,11.77,44.2,104,105.3,72798.2,7.38,46.7,99.9,103.5
河南省,53717.8,11.02,49.4,100,106.8,54259.4,8,62.2,98.6,101.1
湖北省,45429,11.35,37.6,102.7,107.3,43004.5,6.98,55.3,99.6,94.6
湖南省,39894.1,10.39,31.1,101.7,107.6,41542.6,7.13,31.4,100,103.8
广东省,107986.9,12.54,36.9,101.7,106.2,111151.6,9.35,73.9,98.5,102.3
广西壮族自治区,21237.1,13.31,19.7,103,106,22120.9,9.68,22.9,99.1,103.7
海南省,5330.8,12.87,5.6,103.1,105.8,5566.2,9.74,7.9,94.8,103.5
重庆市,23605.8,10.48,17.5,101.5,106.3,25041.4,6.49,29.6,100.6,103.9
四川省,46363.8,10.7,50.4,102.4,107.4,48501.6,6.85,54.4,98.5,103.8
贵州省,16769.3,13.65,15.3,101.7,108.3,17860.4,12.17,19.5,97.7,104.5
云南省,23223.8,12.63,22.9,101.6,108.1,24555.7,9.35,31.9,99.4,104
西藏自治区,1697.8,14.6,2.1,106.8,108.1,1902.7,14.17,2.1,101.5,107.8
陕西省,25793.2,10.55,23.8,103.4,106,26014.1,7.89,24.5,99.9,102.1
甘肃省,8718.3,10.6,10.8,101.6,106.2,8979.7,9.68,12.2,99.7,103.8
青海省,2941.1,13.66,3.1,100.8,106.1,3009.8,11.22,3.1,101.6,101.5
宁夏回族自治区,3748.5,13.72,5.1,100.7,106.5,3956.3,11.62,5.6,98.1,103.9
新疆维吾尔自治区,13597.1,8.14,8.4,100.5,106.2,13800.7,6.16,9.4,101.6,103.4
